procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 1462292 111568 5666768    0    0    30   815    3   55  5  1 93  0  0
 2  0      0 1462096 111568 5666720    0    0     0     0  875 1159  1  1 98  0  0
 1  0      0 1435920 111588 5677412    0    0    12  1188 1833 1993 21  8 71  0  0
 1  0      0 1415016 111588 5686732    0    0     0   224 1607 1582 22  8 70  0  0
 1  0      0 1395108 111588 5696424    0    0     0     0 1039 1089 21  8 72  0  0
 1  0      0 1376220 111588 5705496    0    0     0    88 1107 1165 21  8 71  0  0
 2  0      0 1356816 111588 5714964    0    0     0     4 1091 1109 21  7 72  0  0
 1  0      0 1338420 111592 5723836    0    0     0   208 1299 1313 22  8 71  0  0
 2  0      0 1309216 111592 5747884    0    0     0   252 1306 1239 30  8 62  0  0
 1  0      0 1398224 111592 5711528    0    0     0 31052 1544 1514 28  9 60  3  0
 1  0      0 1378856 111592 5721128    0    0     0   692 1156 1118 21  7 72  0  0
 1  0      0 1359516 111592 5730500    0    0     0     8 1192 1166 21  7 71  0  0
 1  0      0 1342380 111592 5739300    0    0     0     0 1158 1143 21  7 72  0  0
 1  0      0 1323264 111592 5748624    0    0     0     0 1253 1197 21  8 71  0  0
 1  0      0 1312176 111596 5757468    0    0     0   540 1139 1102 21  7 71  1  0
 3  0      0 1269084 111596 5798284    0    0   584 31008 1614 1220 35  9 54  2  0
 1  0      0 1322776 111604 5746664    0    0     0   348 1403 1311 22  7 71  0  0
 1  0      0 1311468 111604 5756432    0    0   504     4 1127 1139 22  7 72  0  0
 1  0      0 1300380 111604 5766184    0    0  1176     0 1189 1153 21  8 71  0  0
 1  0      0 1290836 111604 5775520    0    0     0     0 1084 1103 22  6 72  0  0
 1  0      0 1280812 111604 5784544    0    0   952   288 1163 1118 22  6 71  1  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 1260904 111604 5808612    0    0   800   236 1207 1191 28  7 64  0  0
 1  0      0 1288168 111604 5772672    0    0     0 31080 1657 1412 30  9 59  3  0
 1  0      0 1278592 111604 5781812    0    0     0     0 1122 1159 22  7 72  0  0
 1  0      0 1269520 111604 5790644    0    0     0     8 1113 1128 22  6 72  0  0
 1  0      0 1259956 111604 5799532    0    0     0   112 1316 1389 22  7 71  0  0
 1  0      0 1251388 111604 5807956    0    0     0     0 1133 1102 22  6 71  0  0
 1  0      0 1243072 111608 5816100    0    0   880   476 1228 1220 23  5 72  1  0
 2  0      0 1219384 111608 5840900    0    0    44     0 1287 1224 29  8 63  0  0
 3  0      0 1218172 111608 5838896    0    0     0 31056 1942 1377 52 12 34  2  0
 3  0      0 1144096 111608 5910176    0    0     0    88 1413 1050 60 17 23  0  0
 1  0      0 1236148 111608 5813004    0    0     0 114216 2633 1832 31  9 54  5  0
 1  0      0 1225820 111608 5823300    0    0     0   248 1121 1077 22  6 72  0  0
 1  0      0 1216244 111608 5832828    0    0     0     0 1069 1101 22  6 72  0  0
 1  0      0 1206192 111608 5842356    0    0     0     0 1160 1105 22  7 71  0  0
 1  0      0 1239488 111608 5822848    0    0     0 31296 1639 1326 32 11 56  2  0
 1  0      0 1227900 111608 5833980    0    0     0    32 1126 1132 19  8 73  0  0
 1  0      0 1217344 111608 5844328    0    0     0     0 1253 1223 21  7 72  0  0
 1  0      0 1206508 111608 5855024    0    0     0   196 1126 1110 21  6 72  0  0
 1  0      0 1196180 111608 5865036    0    0     0     0 1104 1158 22  5 73  0  0
 2  0      0 1183612 111608 5875672    0    0     0   320 1293 1220 22  7 71  0  0
 1  0      0 1202060 111612 5854888    0    0     0 31252 1714 1402 32 10 58  1  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 1191728 111612 5864860    0    0     0    32 1097 1087 21  7 72  0  0
 1  0      0 1181396 111612 5875036    0    0     0     0 1272 1190 22  7 71  0  0
 1  0      0 1171064 111612 5885200    0    0     0   188 1129 1090 20  8 72  0  0
 1  0      0 1160492 111612 5895324    0    0     0   380 1179 1117 20  7 72  0  0
 2  0      0 1145628 111612 5912484    0    0     0   352 1375 1202 24  7 69  0  0
 1  0      0 1165584 111612 5887848    0    0     0 31084 1715 1457 30  8 60  2  0
 1  0      0 1154244 111612 5898548    0    0     0     0 1078 1070 19  8 72  0  0
 1  0      0 1142404 111612 5909384    0    0     0     0 1192 1184 22  6 72  0  0
 1  0      0 1130836 111612 5919676    0    0  1666   252 1967 2136 22  7 70  0  0
 1  0      0 1119500 111612 5929568    0    0     0   144 1187 1188 22  6 72  0  0
 2  0      0 1097324 111612 5956612    0    0     0   248 1199 1116 27  9 63  0  0
 5  0      0 1099412 111620 5970392    0    0     0 31088 1856 1374 66 14 19  2  0
 5  0      0 1003664 111620 6065136    0    0  1667     0 2103 1958 84 16  0  0  0
 2  1      0 926808 111624 6149820    0    0     0 131752 2829 1913 73 17  5  5  0
 1  0      0 1152212 111636 5926792    0    0     0 93036 2244 1640 22 11 61  5  0
 1  0      0 1141884 111636 5936240    0    0     0     0 1080 1109 21  7 72  0  0
 1  0      0 1131564 111636 5945952    0    0     0    16 1205 1115 22  6 72  0  0
 3  0      0 1110144 111636 5966024    0    0     0     8 1119 1082 27  6 67  0  0
 2  0      0 1121500 111636 5935232    0    0     0 31156 1582 1338 29  9 59  3  0
 1  0      0 1110440 111636 5946056    0    0     0   276 1234 1171 22  6 72  0  0
 1  0      0 1100864 111636 5955332    0    0     0     0 1081 1073 21  6 72  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
