procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 1717472 111268 5418748    0    0    30   719   65   51  5  1 93  0  0
 2  0      0 1717328 111268 5418536    0    0     0    20  773 1004  1  1 98  0  0
 1  0      0 1698188 111272 5429872    0    0   720  1000 1642 1827 21  8 71  1  0
 1  0      0 1674248 111272 5441336    0    0     0   532 1551 1469 22  8 70  0  0
 1  0      0 1651568 111272 5452388    0    0    72     0 1059 1057 21  6 73  0  0
 1  0      0 1627880 111272 5463960    0    0     0     0 1198 1213 22  6 72  0  0
 2  0      0 1604700 111272 5474996    0    0  1292     0 1272 1251 20  8 72  0  0
 2  0      0 1550520 111272 5514824    0    0    48    32 1410 1277 31 10 59  0  0
 1  0      0 1644564 111272 5467776    0    0     0 31036 1451 1327 21 10 68  1  0
 1  0      0 1619368 111272 5479724    0    0     0     0 1086 1092 20  7 72  0  0
 1  0      0 1594928 111272 5491600    0    0     0     4 1064 1075 21  6 73  0  0
 1  0      0 1572500 111272 5502696    0    0     0     0 1069 1066 20  8 72  0  0
 2  0      0 1544780 111272 5528200    0    0     0    20 1118 1094 26  7 67  0  0
 1  0      0 1572532 111272 5496300    0    0     0 31536 1857 1530 26  9 64  1  0
 1  0      0 1560216 111272 5508220    0    0     0     0 1033 1046 22  6 72  0  0
 2  0      0 1548408 111272 5520488    0    0     0     0 1015 1033 20  7 72  0  0
 1  0      0 1536340 111272 5532432    0    0     0     0 1155 1094 20  8 72  0  0
 2  0      0 1522984 111272 5547484    0    0     0     0 1122 1098 22  7 71  0  0
 1  0      0 1538880 111272 5525028    0    0     0 31224 1564 1246 28 10 60  2  0
 2  0      0 1526536 111272 5536912    0    0     0     0 1072 1105 22  5 73  0  0
 1  0      0 1514444 111272 5548636    0    0     0     4 1227 1124 21  7 72  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 1503356 111272 5559388    0    0     0   204 1102 1124 21  6 72  0  0
 1  0      0 1491260 111272 5571260    0    0     0     0 1072 1063 21  6 73  0  0
 3  0      0 1501148 111276 5564792    0    0     0 31528 1834 1300 38 13 47  2  0
 3  0      0 1425576 111276 5650140    0    0     0    52 1462 1067 62 16 22  0  0
